clouds.all,coord.lat,coord.lon,dt,id,main.grnd_level,main.humidity,main.pressure,main.sea_level,main.temp,main.temp_max,main.temp_min,name,rain,rain.1h,rain.3h,snow,snow.3h,sys.country,weather,wind.deg,wind.gust,wind.speed
48,-36.3146,-57.6761,1553551334,3435038,1019.33,70,1020.26,1020.26,62.19,62.19,62.19,Dolores,,,,,,AR,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",161.5,,13.78
75,31.6941,-89.1307,1553550904,4433039,,57,1016.0,,75.63,77.0,75.2,Laurel,,,,,,US,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",260.0,,10.29
88,-15.9388,-5.7168,1553551336,3370903,1014.77,100,1014.82,1014.82,76.86,76.86,76.86,Jamestown,,,,,,SH,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",114.0,,16.46
20,61.2767,108.0108,1553551337,2012956,985.09,78,1028.1,1028.1,3.96,3.96,3.96,Yerbogachen,,,,,,RU,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",264.0,,5.06
0,52.1408,-10.2689,1553551337,2964782,1030.29,98,1036.86,1036.86,45.99,45.99,45.99,Dingle,,,,,,IE,"[{'id': 800, 'main': 'Clear', 'description': 'Sky is Clear', 'icon': '01n'}]",130.0,,3.49
68,69.7028,170.2747,1553551338,2122090,999.01,87,1006.86,1006.86,4.14,4.14,4.14,Pevek,,,,,,RU,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",10.5003,,7.96
44,-43.2992,-65.1057,1553551338,3839307,1011.89,46,1022.9,1022.9,65.61,65.61,65.61,Rawson,,,,,,AR,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",59.5003,,10.2
36,14.1234,15.3108,1553551338,2428394,971.81,21,1008.78,1008.78,80.82,80.82,80.82,Mao,,,,,,TD,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",21.0003,,9.19
0,-26.6481,15.1594,1553551339,3355672,997.81,73,1012.14,1012.14,62.73,62.73,62.73,Luderitz,,,,,,NA,"[{'id': 800, 'main': 'Clear', 'description': 'Sky is Clear', 'icon': '01n'}]",169.5,,17.47
75,-16.9205,145.7719,1553550916,2172797,,100,1013.0,,74.48,77.0,70.0,Cairns,,3.3,,,,AU,"[{'id': 522, 'main': 'Rain', 'description': 'heavy intensity shower rain', 'icon': '09n'}]",150.0,,5.17
40,33.6956,-78.8901,1553551087,4588718,,43,1012.0,,71.49,75.99,66.0,Myrtle Beach,,,,,,US,"[{'id': 721, 'main': 'Haze', 'description': 'haze', 'icon': '50d'}]",190.0,,6.93
0,37.1363,-8.4541,1553551332,2267254,,63,1012.0,,60.89,63.0,55.99,Lagoa,,,,,,PT,"[{'id': 800, 'main': 'Clear', 'description': 'Sky is Clear', 'icon': '01n'}]",30.0,,8.05
